sample,cell type
"Atoh1+ Inner ear hair cells - organ of corti, pool1.CNhs12533.12158-128G7",Atoh1+ Inner ear hair cell
"Mouse CD19+ B Cells, donor1.CNhs13531.11856-125A2",CD19+ B cell
"Mouse CD4+ T Cells, donor1.CNhs13509.11854-124I9",CD4+ T cell
"CD4+CD25+ regulatory T cells, PMA and ionomycin stimulation, 02hr, pool1 (BalbcA).CNhs14160.11946-126B2",CD4+CD25+ regulatory T cell
"CD4+CD25+ regulatory T cells, PMA and ionomycin stimulation, 02hr, pool1 (C57BL 6J).CNhs14142.11945-126B1",CD4+CD25+ regulatory T cell
"CD4+CD25+ regulatory T cells, antiCD3 CD28 stimulation, 06hr, pool1 (BalbcA).CNhs14158.11943-126A8",CD4+CD25+ regulatory T cell
"CD4+CD25+ regulatory T cells, antiCD3 CD28 stimulation, 06hr, pool1 (C57BL 6J).CNhs14159.11944-126A9",CD4+CD25+ regulatory T cell
"CD4+CD25+ regulatory T cells, pool1 (C57BL_6J).CNhs13913.11814-124E5",CD4+CD25+ regulatory T cell
"CD4+CD25+ regulatory T cells, pool2 (Balb_cAJcl).CNhs13221.11818-124E9",CD4+CD25+ regulatory T cell
"CD4+CD25-CD44- naive conventional T cells, PMA and ionomycin stimulation, 02hr, pool1 (C57BL_6J).CNhs13219.11816-124E7",CD4+CD25-CD44- naive conventional T cell
"CD4+CD25-CD44- naive conventional T cells, PMA and ionomycin stimulation, 02hr, pool2 (Balb_cAJcl).CNhs13226.11820-124F2",CD4+CD25-CD44- naive conventional T cell
"CD4+CD25-CD44- naive conventional T cells, antiCD3_CD28 stimulation, 06hr, pool1 (C57BL_6J).CNhs13218.11815-124E6",CD4+CD25-CD44- naive conventional T cell
"CD4+CD25-CD44- naive conventional T cells, antiCD3_CD28 stimulation, 06hr, pool2 (Balb_cAJcl).CNhs13225.11819-124F1",CD4+CD25-CD44- naive conventional T cell
"CD4+CD25-CD44- naive conventional T cells, pool1 (C57BL_6J).CNhs13217.11813-124E4",CD4+CD25-CD44- naive conventional T cell
"CD4+CD25-CD44- naive conventional T cells, pool2 (Balb_cAJcl).CNhs13220.11817-124E8",CD4+CD25-CD44- naive conventional T cell
"CD41+ megakaryocyte control, donor1.CNhs13212.11775-124A2",CD41+ megakaryocyte
"CD41+ megakaryocyte control, donor2.CNhs13214.11777-124A4",CD41+ megakaryocyte
"CD41+ megakaryocyte control, donor3.CNhs13201.11779-124A6",CD41+ megakaryocyte
"CD41+ megakaryocyte cancer, donor1.CNhs13079.11774-124A1",CD41+ megakaryocytic leukemia
"CD41+ megakaryocyte cancer, donor2.CNhs13213.11776-124A3",CD41+ megakaryocytic leukemia
"CD41+ megakaryocyte cancer, donor3.CNhs13506.11778-124A5",CD41+ megakaryocytic leukemia
"Mouse CD8+ T Cells, donor1.CNhs13511.11855-125A1",CD8+ T cell
"EBF KO HPCs induced to T cell, 00hr00min, biol_rep1.CNhs11058.12972-138H2",EBF KO Hematopoietic progenitor cell
"EBF KO HPCs induced to T cell, 00hr00min, biol_rep2.CNhs12980.12988-138I9",EBF KO Hematopoietic progenitor cell
"EBF KO HPCs induced to T cell, 00hr00min, biol_rep3.CNhs13687.13004-139B7",EBF KO Hematopoietic progenitor cell
"GP2+ M cell, pool1.CNhs13228.11845-124H9",GP2+ M cell
"GP2+ M cell, pool2.CNhs13231.11846-124I1",GP2+ M cell
"GP2+ M cell, pool3.CNhs13240.11847-124I2",GP2+ M cell
"Ileum epithelium, pool1.CNhs13199.10252-104B9",Ileum epithelium
"Ileum epithelium, pool2.CNhs13232.10253-104C1",Ileum epithelium
"Ileum epithelium, treated with RANKL, day03, pool3.CNhs13234.10260-104C8",Ileum epithelium
"Lgr5 positive intestinal stem cells, pool1.CNhs12555.12228-129F5",Lgr5 positive intestinal stem cell
